Lot Area,Neighborhood,Building Type,House Style,Overall Quality,Overall Condition,Year Built,Year Remodeled/Added,Unfinished Basement (SF),Central Air,1st Floor (SF),2nd Floor (SF),Above Ground Living Area (SF),Bedrooms,Kitchen Quality,Total Rooms,Garage Type,Garage Cars,Garage Area,Wood Deck (SF),Open Porch (SF),Enclosed Porch,Screen Porch,Year Sold,Sale Price,Total Bathrooms,Remodeled Y/N,Total Finished Basement (SF),Finished Basement/Abv Ground Living Area
6240,NridgHt,TwnhsE,1Story,8,5,2006,2006,461,Y,1324,0,1324,2,Gd,6,Attchd,2,550,192,38,0,0,2009,254000,3,N,863,2187
3480,NridgHt,TwnhsE,1Story,7,5,2003,2003,1405,Y,1405,0,1405,2,Gd,6,Attchd,2,478,148,36,0,0,2009,173000,2,N,0,1405
2268,NridgHt,Twnhs,2Story,7,5,2003,2004,197,Y,764,862,1626,2,Gd,6,BuiltIn,2,474,0,27,0,0,2009,173000,2,Y,567,2193
10928,Gilbert,1Fam,2Story,7,5,2005,2005,728,Y,728,728,1456,3,Gd,8,Attchd,2,390,100,0,0,0,2009,184000,3,N,0,1456
8918,Gilbert,1Fam,2Story,6,5,2005,2006,745,Y,745,745,1490,3,Gd,7,Attchd,2,392,36,20,0,0,2009,167800,3,Y,0,1490
12589,Gilbert,1Fam,2Story,6,5,2005,2005,742,Y,742,742,1484,3,Gd,8,Attchd,2,390,36,24,0,0,2009,174000,3,N,0,1484
11911,Gilbert,1Fam,2Story,6,5,2005,2005,684,Y,684,876,1560,3,Gd,6,BuiltIn,2,400,100,38,0,0,2009,174000,3,N,0,1560
3684,Blmngtn,TwnhsE,1Story,7,5,2007,2007,1373,Y,1555,0,1555,2,Gd,7,Attchd,3,660,143,20,0,0,2009,174000,2,N,0,1555
3635,Blmngtn,TwnhsE,1Story,7,5,2007,2007,398,Y,1569,0,1569,1,Gd,7,Attchd,3,660,143,20,0,0,2009,175900,3,N,988,2557
3182,Blmngtn,TwnhsE,1Story,7,5,2005,2006,1357,Y,1555,0,1555,2,Gd,7,Attchd,2,430,143,20,0,0,2009,192500,2,Y,16,1571
3182,Blmngtn,TwnhsE,1Story,7,5,2005,2006,1330,Y,1504,0,1504,1,Gd,7,Attchd,2,457,156,0,0,0,2009,181000,2,Y,16,1520
3182,Blmngtn,TwnhsE,1Story,7,5,2005,2006,1204,Y,1220,0,1220,2,Gd,5,Attchd,2,397,100,16,0,0,2009,180000,2,Y,16,1236
3182,Blmngtn,TwnhsE,1Story,7,5,2005,2006,1129,Y,1145,0,1145,2,Gd,5,Attchd,2,397,100,16,0,0,2009,160200,2,Y,16,1161
7795,Gilbert,1Fam,2Story,7,5,2004,2005,291,Y,716,716,1432,3,Gd,6,Attchd,2,432,100,51,0,0,2009,188500,4,Y,425,1857
8068,Gilbert,1Fam,2Story,6,5,2002,2002,1010,Y,1010,1257,2267,4,Gd,8,BuiltIn,2,390,120,46,0,0,2009,200000,3,N,0,2267
9434,Gilbert,1Fam,SLvl,7,5,2004,2005,384,Y,744,630,1374,3,Gd,6,BuiltIn,2,400,100,0,0,0,2009,170000,3,Y,0,1374
7984,Gilbert,1Fam,2Story,7,5,2004,2005,868,Y,868,762,1630,3,Gd,7,BuiltIn,2,436,120,48,0,0,2009,189500,3,Y,0,1630
7750,Gilbert,1Fam,SLvl,8,5,2002,2002,55,Y,779,640,1419,3,Gd,7,BuiltIn,2,527,120,0,0,0,2009,184100,4,N,353,1772
10125,Gilbert,1Fam,2Story,7,5,2004,2004,846,Y,846,748,1594,3,Gd,7,Attchd,2,434,300,48,0,0,2009,195500,3,N,0,1594
8965,Gilbert,1Fam,2Story,7,5,2003,2003,130,Y,806,683,1489,3,Gd,8,Attchd,2,400,0,75,0,0,2009,192000,4,N,652,2141
8174,Gilbert,1Fam,2Story,7,5,2003,2003,204,Y,698,644,1342,3,Gd,7,Attchd,2,393,100,56,0,0,2009,178000,4,N,494,1836
5063,NridgHt,Twnhs,1Story,7,5,2007,2008,410,Y,1314,0,1314,2,Gd,6,Attchd,2,626,172,62,0,0,2009,207500,3,Y,904,2218
8795,Gilbert,1Fam,2Story,7,5,2000,2000,652,Y,980,1276,2256,4,Gd,8,BuiltIn,2,554,224,54,0,0,2009,236000,3,N,300,2556
12891,Gilbert,1Fam,2Story,8,5,2002,2002,219,Y,878,1126,2004,4,Gd,8,BuiltIn,3,644,0,48,0,0,2009,257500,4,N,651,2655
12224,Gilbert,1Fam,2Story,6,5,2000,2000,297,Y,1022,1032,2054,3,Gd,7,BuiltIn,2,390,24,48,0,0,2009,244000,4,N,695,2749
9734,Gilbert,1Fam,SLvl,7,5,2004,2004,30,Y,744,630,1374,3,Gd,7,BuiltIn,2,400,0,0,0,0,2009,167000,3,N,354,1728
8123,Gilbert,1Fam,2Story,6,5,2000,2000,982,Y,1007,793,1800,3,TA,7,Attchd,2,463,100,63,0,0,2009,179000,3,N,0,1800
8433,Gilbert,1Fam,2Story,6,5,2000,2000,111,Y,819,695,1514,3,TA,7,Attchd,2,394,0,72,0,0,2009,190000,4,N,683,2197
7750,Gilbert,1Fam,SLvl,7,5,1999,2000,384,Y,774,656,1430,3,TA,7,BuiltIn,2,400,0,0,0,0,2009,156000,3,Y,0,1430
15896,Gilbert,1Fam,2Story,7,5,1999,1999,264,Y,1223,1089,2312,4,Gd,8,BuiltIn,3,658,298,0,0,0,2009,245000,4,N,913,3225
24682,Gilbert,1Fam,2Story,6,5,1999,1999,841,Y,892,783,1675,3,TA,7,BuiltIn,2,502,0,103,0,0,2009,181000,3,N,0,1675
8755,Gilbert,1Fam,2Story,7,5,1999,1999,220,Y,1022,1038,2060,3,Gd,8,BuiltIn,2,390,0,0,0,0,2009,214000,4,N,772,2832
7848,Gilbert,1Fam,SLvl,7,6,1999,1999,384,Y,774,656,1430,3,TA,7,BuiltIn,2,410,0,0,0,0,2009,168000,3,N,0,1430
9430,NoRidge,1Fam,2Story,8,5,1999,1999,89,Y,1268,1097,2365,3,Gd,8,Attchd,3,856,0,128,0,180,2009,337000,4,N,1163,3528
15138,NoRidge,1Fam,2Story,8,5,1995,1996,773,Y,1490,1304,2794,4,Ex,9,Attchd,3,810,0,146,202,0,2009,403000,4,Y,689,3483
12720,NoRidge,1Fam,2Story,8,5,2000,2000,282,Y,1466,1221,2687,4,Gd,10,BuiltIn,3,810,252,30,0,0,2009,327000,4,N,1173,3860
16545,NoRidge,1Fam,2Story,8,5,1998,1998,503,Y,1310,1140,2450,3,Gd,7,Attchd,3,1069,0,126,0,0,2009,340000,4,N,781,3231
12203,NoRidge,1Fam,2Story,8,5,1998,1999,371,Y,1276,1336,2612,4,Gd,8,Attchd,3,676,250,0,0,0,2009,336000,4,Y,854,3466
10208,NoRidge,1Fam,2Story,7,5,1996,1997,1264,Y,1277,1067,2344,3,Gd,7,Attchd,3,889,220,0,0,0,2009,265000,3,Y,0,2344
10750,NoRidge,1Fam,1Story,8,5,1994,1995,262,Y,2063,0,2063,3,Gd,7,Attchd,3,815,182,56,0,0,2009,315000,3,Y,1762,3825
9900,NoRidge,1Fam,2Story,7,5,1993,1993,360,Y,1372,1274,2646,4,Gd,9,Attchd,3,656,340,60,144,0,2009,260000,4,N,987,3633
9085,NoRidge,1Fam,2Story,7,5,1995,1996,254,Y,1094,967,2061,3,Gd,7,Attchd,2,647,296,102,209,0,2009,260000,4,Y,816,2877
11692,NoRidge,1Fam,2Story,8,5,1993,1994,549,Y,1215,1017,2232,3,Gd,8,Attchd,2,623,173,165,0,0,2009,263550,4,Y,624,2856
7200,NAmes,1Fam,1Story,5,7,1952,1952,0,Y,732,0,732,2,TA,4,Detchd,1,240,0,68,0,0,2009,118900,2,N,732,1464
29959,NoRidge,1Fam,2Story,7,6,1994,1994,378,Y,979,871,1850,3,Gd,7,BuiltIn,2,467,168,98,0,0,2009,248000,3,N,595,2445
9612,Somerst,1Fam,1Story,8,5,2008,2009,1468,Y,1468,0,1468,3,Gd,6,Attchd,3,898,210,150,0,0,2009,244600,2,Y,0,1468
11194,Somerst,1Fam,1Story,8,5,2008,2008,1696,Y,1696,0,1696,3,Gd,7,Attchd,3,972,120,56,0,0,2009,275000,2,N,0,1696
10206,Somerst,1Fam,1Story,8,5,2008,2008,1614,Y,1658,0,1658,3,Gd,7,Attchd,3,726,144,44,0,0,2009,257500,3,N,0,1658
9262,Somerst,1Fam,1Story,8,5,2008,2009,1573,Y,1578,0,1578,3,Ex,7,Attchd,3,840,0,36,0,0,2009,287090,2,Y,0,1578
10130,Somerst,1Fam,1Story,8,5,2007,2007,408,Y,1702,0,1702,3,Gd,7,Attchd,3,844,0,69,0,0,2009,275500,3,N,1294,2996
9139,Somerst,1Fam,1Story,8,5,2006,2006,1043,Y,1432,0,1432,3,Gd,7,Attchd,2,492,297,50,0,0,2009,245000,2,N,379,1811
9675,Somerst,1Fam,2Story,7,5,2005,2005,772,Y,1113,858,1971,3,Gd,8,Attchd,2,689,0,48,0,0,2009,253000,3,N,341,2312
11128,Somerst,1Fam,1Story,9,5,2005,2006,300,Y,2490,0,2490,2,Ex,9,Attchd,3,795,70,226,0,0,2009,468000,3,Y,2158,4648
8640,Somerst,1Fam,2Story,7,5,2009,2009,78,Y,932,920,1852,3,Gd,7,Attchd,2,644,168,108,0,0,2009,252678,4,N,822,2674
9000,Somerst,1Fam,2Story,8,5,2008,2008,768,Y,786,804,1590,3,Gd,6,Attchd,2,676,0,30,0,0,2009,210000,3,N,0,1590
7862,Somerst,1Fam,1Story,6,5,2009,2009,1191,Y,1218,0,1218,2,Gd,4,Attchd,2,676,0,102,0,0,2009,208300,2,N,27,1245
7993,Somerst,1Fam,1Story,7,5,2008,2009,1436,Y,1436,0,1436,3,Gd,6,Attchd,2,529,0,121,0,0,2009,225000,2,Y,0,1436
8640,Somerst,1Fam,1Story,8,5,2009,2009,364,Y,1314,0,1314,3,Gd,6,Attchd,2,552,135,112,0,0,2009,229456,3,N,936,2250
8640,Somerst,1Fam,1Story,7,5,2008,2008,1402,Y,1402,0,1402,3,Gd,7,Attchd,2,625,205,126,0,0,2009,229800,2,N,0,1402
12606,Somerst,1Fam,1Story,9,5,2007,2008,1530,Y,1530,0,1530,3,Gd,7,Attchd,3,984,212,136,0,0,2009,250000,2,Y,0,1530
9187,Somerst,1Fam,1Story,9,5,2009,2009,645,Y,1766,0,1766,2,Ex,7,Attchd,3,478,195,130,0,0,2009,370878,4,N,1121,2887
7500,Somerst,1Fam,1Story,8,5,2006,2007,1348,Y,1448,0,1448,2,Gd,6,Attchd,2,692,0,140,0,0,2009,238500,2,Y,24,1472
11003,Somerst,1Fam,2Story,10,5,2008,2008,252,Y,1026,981,2007,3,Ex,10,Attchd,3,812,168,52,0,0,2009,310000,4,N,765,2772
10603,Somerst,1Fam,2Story,8,5,2006,2006,218,Y,909,886,1795,3,Gd,8,Attchd,3,782,168,45,0,0,2009,270000,4,N,682,2477
10574,Somerst,1Fam,2Story,8,5,2005,2006,1082,Y,1082,871,1953,3,Gd,9,Attchd,3,1043,160,50,0,0,2009,252000,3,Y,0,1953
8125,Somerst,1Fam,2Story,7,5,2006,2007,280,Y,1112,438,1550,2,Gd,7,Attchd,2,438,0,168,0,0,2009,241000,3,Y,812,2362
8125,Somerst,1Fam,1Story,8,5,2008,2009,1836,Y,1836,0,1836,3,Gd,8,Attchd,2,517,0,175,0,0,2009,264500,2,Y,0,1836
10625,Somerst,1Fam,1Story,7,5,2006,2007,222,Y,1662,0,1662,3,Ex,8,Attchd,3,711,168,120,0,0,2009,291000,3,Y,1430,3092
9375,Somerst,1Fam,2Story,7,5,2003,2004,912,Y,912,1182,2094,4,Gd,8,BuiltIn,2,615,182,182,0,0,2009,263000,3,Y,0,2094
7500,Somerst,1Fam,1Story,7,5,2004,2005,811,Y,1221,0,1221,2,Gd,6,Attchd,2,400,0,113,0,0,2009,185000,3,Y,410,1631
8736,Somerst,1Fam,1Story,7,5,2003,2004,422,Y,1553,0,1553,3,Gd,6,Attchd,2,588,192,88,0,0,2009,234500,3,Y,1131,2684
8127,Somerst,1Fam,2Story,7,5,2003,2003,402,Y,812,841,1653,3,Gd,6,Attchd,2,628,0,45,0,0,2009,209000,4,N,410,2063
9605,SawyerW,1Fam,1Story,7,6,2007,2007,1218,Y,1218,0,1218,3,Gd,6,Detchd,2,576,0,178,0,0,2009,159000,2,N,0,1218
7500,SawyerW,1Fam,1Story,7,5,2006,2006,1087,Y,1141,0,1141,3,Gd,6,Detchd,2,484,182,0,0,0,2009,152000,3,N,54,1195
7500,SawyerW,1Fam,1Story,6,5,2004,2004,1158,Y,1158,0,1158,3,Gd,5,0,0,0,0,50,0,0,2009,143500,2,N,0,1158
10628,SawyerW,1Fam,2Story,7,5,2004,2004,835,Y,871,941,1812,3,Gd,8,BuiltIn,2,478,146,91,0,0,2009,193000,3,N,0,1812
10141,SawyerW,1Fam,1Story,8,5,2004,2004,222,Y,1512,0,1512,3,Gd,6,Attchd,3,845,210,36,0,0,2009,203000,2,N,1290,2802
10083,SawyerW,1Fam,1Story,7,5,2003,2003,343,Y,1200,0,1200,2,Gd,5,Attchd,2,555,0,41,0,0,2009,184900,3,N,833,2033
13072,SawyerW,1Fam,1Story,7,5,2004,2005,1114,Y,1114,0,1114,3,Gd,6,Detchd,2,576,248,102,0,0,2009,159000,2,Y,0,1114
13072,SawyerW,1Fam,1Story,5,5,2004,2004,1114,Y,1114,0,1114,3,Gd,6,0,0,0,0,39,0,0,2009,142000,2,N,0,1114
12450,SawyerW,1Fam,1Story,5,5,2003,2004,278,Y,1114,0,1114,3,Gd,6,Detchd,2,576,0,42,0,0,2009,153000,3,Y,836,1950
7328,SawyerW,1Fam,1Story,7,5,2008,2009,1450,Y,1450,0,1450,2,Gd,6,Attchd,3,788,0,93,0,0,2009,224243,2,Y,0,1450
11492,SawyerW,1Fam,2Story,7,5,1996,1997,276,Y,913,1209,2122,4,Gd,8,Attchd,2,559,0,74,0,0,2009,220000,4,Y,637,2759
10994,SawyerW,1Fam,1Story,8,5,2005,2006,868,Y,1844,0,1844,2,Gd,7,Attchd,2,620,165,44,0,0,2009,257000,3,Y,976,2820
8529,SawyerW,1Fam,1Story,7,5,2001,2001,1434,Y,1434,0,1434,3,Gd,6,Attchd,2,527,290,39,0,0,2009,189000,2,N,20,1454
7703,SawyerW,1Fam,2Story,6,6,1992,1992,400,Y,833,897,1730,3,Gd,6,Attchd,2,528,0,91,0,168,2009,171500,3,N,416,2146
10762,SawyerW,TwnhsE,2Story,6,6,1980,1980,626,Y,626,591,1217,3,TA,6,Attchd,1,288,0,28,0,0,2009,120000,2,N,0,1217
7175,SawyerW,TwnhsE,1Story,6,5,1990,1991,1332,Y,1332,0,1332,2,Gd,5,Attchd,2,542,0,60,0,0,2009,145000,2,Y,0,1332
9109,SawyerW,1Fam,2Story,7,5,1994,1994,122,Y,754,786,1540,3,Gd,6,Attchd,2,495,140,32,0,0,2009,184000,4,N,632,2172
10800,NAmes,1Fam,1.5Fin,4,7,1949,1996,832,Y,832,629,1461,4,TA,6,Detchd,1,384,0,204,0,0,2009,133500,2,Y,0,1461
8064,NAmes,1Fam,1.5Fin,6,7,1948,1994,744,Y,1064,0,1495,3,TA,6,Detchd,2,576,180,36,0,0,2009,135000,1,Y,120,1615
8400,SawyerW,1Fam,1Story,4,4,1950,1950,721,Y,841,0,841,2,TA,4,CarPort,1,294,250,0,24,0,2009,82000,1,N,0,841
9000,SawyerW,1Fam,1.5Unf,6,3,1928,1950,784,N,784,0,784,2,TA,5,Detchd,2,360,0,0,91,0,2009,76000,1,Y,0,784
9750,Sawyer,1Fam,1Story,5,5,1962,1962,28,Y,980,0,980,3,TA,5,Detchd,2,400,0,28,0,0,2009,110000,2,N,952,1932
7064,Sawyer,1Fam,1Story,5,6,1977,1977,420,Y,980,0,980,3,TA,6,Detchd,2,484,192,0,0,0,2009,135000,1,N,560,1540
8499,Sawyer,1Fam,1Story,5,6,1961,1961,204,Y,864,0,864,3,TA,5,Detchd,2,732,0,312,0,0,2009,141000,2,N,660,1524
9079,Sawyer,1Fam,1Story,5,5,1961,1961,0,Y,864,0,864,2,TA,5,Attchd,1,440,158,0,0,0,2009,122000,1,N,864,1728
9316,Sawyer,1Fam,1Story,5,5,1965,1965,480,Y,1020,0,1020,3,TA,5,Attchd,1,288,171,0,0,0,2009,124100,2,N,544,1564
8604,NAmes,Duplex,SFoyer,5,7,1978,1978,0,Y,941,0,941,2,Gd,4,Attchd,2,564,0,40,0,0,2009,145000,2,N,941,1882
10000,Sawyer,1Fam,1Story,5,6,1961,1983,270,Y,1144,0,1144,3,TA,6,Attchd,1,264,165,0,0,0,2009,131400,2,Y,594,1738
8281,Sawyer,1Fam,1Story,5,5,1965,1965,0,Y,864,0,864,3,TA,5,Detchd,1,360,0,0,236,0,2009,62383,1,N,864,1728
7150,Sawyer,1Fam,1Story,5,6,1962,1962,182,Y,912,0,912,3,TA,6,Attchd,1,252,0,0,0,0,2009,123000,2,N,730,1642
6000,OldTown,1Fam,1.5Fin,5,7,1950,1970,384,Y,768,560,1328,3,TA,6,Detchd,1,308,0,12,0,0,2009,129500,2,Y,384,1712
3500,OldTown,1Fam,1.5Fin,5,7,1947,1950,408,Y,720,564,1284,2,TA,5,Detchd,1,240,0,35,0,0,2009,110000,2,Y,312,1596
2880,Somerst,Twnhs,2Story,7,5,2004,2005,1376,Y,1376,1629,3005,3,Gd,9,BuiltIn,3,704,0,177,0,0,2009,280750,3,Y,0,3005
3951,Somerst,TwnhsE,2Story,6,5,2009,2009,612,Y,612,612,1224,2,Gd,4,Detchd,2,528,0,234,0,0,2009,164500,3,N,0,1224
3000,Somerst,TwnhsE,2Story,6,5,2009,2009,318,Y,612,612,1224,2,Gd,4,Detchd,2,528,0,234,0,0,2009,173733,3,N,294,1518
3830,Somerst,TwnhsE,1Story,6,5,2008,2008,1726,Y,1726,0,1726,2,Gd,6,Attchd,2,561,0,254,0,0,2009,222000,3,N,0,1726
4217,Somerst,TwnhsE,1Story,6,5,2008,2008,183,Y,1256,0,1256,1,Gd,5,Attchd,2,641,0,169,0,0,2009,195000,3,N,962,2218
3230,Somerst,TwnhsE,2Story,6,5,1999,1999,348,Y,742,729,1471,3,TA,6,Detchd,2,440,0,24,0,0,2009,172500,3,N,381,1852
2998,Somerst,TwnhsE,2Story,6,5,2000,2000,249,Y,756,756,1512,2,Gd,4,Detchd,2,440,0,32,0,0,2009,180000,4,N,507,2019
3768,Somerst,TwnhsE,2Story,7,5,1999,1999,142,Y,713,739,1452,3,Gd,6,Detchd,2,506,0,34,0,0,2009,156000,4,N,549,2001
2645,Somerst,Twnhs,2Story,8,5,1999,2000,321,Y,983,756,1739,3,Gd,7,Attchd,2,480,115,0,0,0,2009,172500,4,Y,649,2388
11700,OldTown,1Fam,2Story,7,7,1880,2003,1240,N,1320,1320,2640,4,Gd,8,Detchd,4,864,181,0,386,0,2009,265979,2,Y,0,2640
3782,Greens,TwnhsE,1Story,8,5,1981,1981,266,Y,1226,0,1226,1,Gd,4,Attchd,2,484,133,78,0,0,2009,211500,2,N,960,2186
15417,Veenker,1Fam,1Story,7,5,1981,1981,1619,Y,1740,0,1740,2,Gd,7,Attchd,2,540,228,20,218,0,2009,241600,2,N,121,1861
9600,Veenker,1Fam,SLvl,8,5,1976,1976,392,Y,1487,1012,2499,4,TA,5,Attchd,2,527,0,64,0,0,2009,180500,3,N,0,2499
9991,Sawyer,1Fam,1Story,4,4,1976,1993,165,Y,1620,0,1620,3,TA,8,Attchd,2,490,120,78,0,0,2009,150000,3,Y,1116,2736
11700,NWAmes,1Fam,2Story,6,6,1968,1968,429,Y,829,727,1556,4,TA,8,Attchd,2,441,0,0,0,0,2009,154000,2,N,298,1854
11717,NWAmes,1Fam,1Story,6,6,1970,1970,1442,Y,1442,0,1442,2,TA,6,Attchd,2,615,371,0,0,0,2009,185000,2,N,0,1442
8400,OldTown,1Fam,2Story,6,7,1900,1950,917,Y,1090,917,2007,3,Ex,8,Detchd,1,357,0,235,0,0,2009,160000,2,Y,0,2007
10382,NWAmes,1Fam,2Story,7,6,1973,1973,216,Y,1107,983,2090,3,TA,7,Attchd,2,484,235,204,228,0,2009,200000,4,N,891,2981
12732,NWAmes,1Fam,2Story,7,6,1974,1974,150,Y,1285,782,2067,3,Gd,7,Attchd,2,784,297,40,0,0,2009,206000,3,N,602,2669
12936,NWAmes,1Fam,2Story,6,6,1972,1972,130,Y,735,660,1395,3,TA,6,Attchd,2,497,294,116,0,0,2009,162000,3,N,593,1988
3600,OldTown,1Fam,2Story,6,7,1917,2007,624,Y,664,624,1288,3,Ex,5,Attchd,1,280,0,103,0,0,2009,119000,2,Y,0,1288
17871,NWAmes,1Fam,SLvl,6,5,1967,1976,1152,Y,1724,0,1724,3,TA,7,Attchd,2,480,0,0,0,0,2009,197900,3,Y,528,2252
9600,NWAmes,1Fam,1Story,5,5,1969,1969,588,Y,1336,0,1336,3,TA,6,Attchd,2,502,312,11,0,0,2009,163000,3,N,700,2036
9000,NWAmes,1Fam,1Story,6,5,1969,1969,261,Y,1216,0,1216,3,TA,5,Attchd,1,336,0,0,0,0,2009,113000,2,N,955,2171
9720,OldTown,1Fam,2Story,6,7,1910,2002,741,Y,780,741,1521,4,Gd,8,Detchd,3,640,0,0,238,0,2009,146500,1,Y,0,1521
9650,NWAmes,1Fam,1Story,6,5,1977,1977,664,Y,1334,0,1334,2,TA,6,Attchd,2,630,0,16,0,0,2009,167900,3,N,686,2020
10140,NWAmes,1Fam,1Story,7,5,1998,1999,379,Y,1680,0,1680,3,Gd,7,Attchd,2,583,78,73,0,0,2009,213250,3,Y,1271,2951
8400,NWAmes,1Fam,2Story,8,6,2001,2001,167,Y,810,855,1665,3,Gd,6,Attchd,2,528,0,45,0,0,2009,227000,4,N,643,2308
7130,NAmes,1Fam,1Story,5,6,1967,1967,216,Y,864,0,864,2,TA,5,Attchd,1,312,0,0,0,0,2009,130000,2,N,648,1512
9600,NAmes,1Fam,1Story,5,5,1967,1967,1568,Y,1568,0,1568,3,TA,7,Attchd,2,440,160,40,0,0,2009,143000,2,N,0,1568
9100,NAmes,1Fam,1Story,5,6,1965,1965,121,Y,925,0,925,2,TA,5,Detchd,1,429,0,0,0,0,2009,117500,2,N,804,1729
9600,NWAmes,1Fam,2Story,7,5,1974,1974,467,Y,1165,896,2061,4,TA,8,Attchd,2,498,0,77,0,196,2009,168500,4,N,698,2759
16500,NWAmes,1Fam,SFoyer,6,5,1971,1971,270,Y,1320,0,1320,3,TA,5,Attchd,2,495,0,20,0,0,2009,172500,3,N,962,2282
9790,NWAmes,1Fam,1Story,6,5,1967,1967,491,Y,1342,0,1342,3,TA,7,Attchd,2,457,0,0,0,197,2009,161500,2,N,881,2223
7264,BrkSide,1Fam,1.5Fin,7,7,1925,2007,952,N,952,596,1548,3,Ex,5,Detchd,2,672,74,0,0,144,2009,205000,3,Y,0,1548
4960,BrkSide,1Fam,1.5Fin,5,7,1930,1982,297,Y,1001,653,1654,3,TA,7,Detchd,1,336,244,60,0,0,2009,137000,2,Y,0,1654
9100,NAmes,1Fam,1Story,6,6,1959,1959,252,Y,864,0,864,2,TA,5,Detchd,1,300,0,0,0,0,2009,127500,1,N,612,1476
9450,NAmes,1Fam,1Story,4,5,1957,1957,265,Y,1362,0,1362,3,TA,6,Attchd,3,768,0,0,84,0,2009,140000,2,N,775,2137
13495,NAmes,1Fam,1Story,5,6,1956,1956,222,Y,1728,0,1728,3,TA,7,Detchd,2,576,0,99,0,0,2009,177625,3,N,826,2554
11475,NAmes,Duplex,1Story,5,5,1958,1958,1584,Y,1776,0,1776,4,TA,9,Detchd,3,888,0,25,0,0,2009,110000,3,N,0,1776
10004,NAmes,1Fam,1Story,6,6,1964,1964,975,Y,1516,0,1516,3,TA,6,Attchd,2,472,0,0,0,152,2009,167000,2,N,541,2057
9350,NAmes,1Fam,1Story,5,6,1961,1995,491,Y,1313,0,1313,3,Gd,6,Attchd,2,610,172,28,0,121,2009,153000,3,Y,822,2135
10500,NAmes,1Fam,1Story,5,5,1964,1964,294,Y,1292,0,1292,3,TA,6,Detchd,2,520,0,32,0,92,2009,145100,3,N,998,2290
11000,NAmes,1Fam,1Story,5,6,1966,1966,184,Y,1154,0,1154,3,TA,6,Attchd,2,480,0,58,0,0,2009,154000,2,N,970,2124
8970,NAmes,1Fam,2Story,5,6,1965,1965,356,Y,825,1315,2140,4,TA,7,Attchd,2,549,0,40,264,0,2009,177500,3,N,388,2528
12095,NAmes,1Fam,SLvl,6,6,1964,1964,563,Y,1445,0,1445,3,TA,7,Attchd,2,645,180,0,0,0,2009,158000,2,N,564,2009
9600,NAmes,1Fam,1Story,5,6,1959,1959,50,Y,1041,0,1041,3,TA,6,Attchd,1,270,224,88,0,0,2009,124500,2,N,991,2032
11475,NAmes,1Fam,SLvl,6,6,1961,1961,640,Y,1576,0,1576,4,Gd,7,BuiltIn,2,368,85,0,0,0,2009,174500,2,N,568,2144
9768,NAmes,1Fam,1Story,5,5,1955,1955,613,Y,960,0,960,2,TA,5,Attchd,1,330,0,70,0,0,2009,122000,2,N,347,1307
6000,BrkSide,1Fam,1.5Unf,6,7,1926,2004,884,Y,904,0,904,2,TA,4,Detchd,1,180,0,0,105,0,2009,119000,1,Y,0,904
7015,BrkSide,1Fam,1.5Fin,5,4,1950,1950,524,Y,979,224,1203,3,Gd,5,Detchd,1,352,0,0,248,0,2009,110000,2,N,185,1388
12160,NAmes,1Fam,1Story,6,4,1953,1953,481,Y,1505,0,1505,2,TA,6,Attchd,2,505,0,0,0,0,2009,149500,2,N,1024,2529
9900,NAmes,1Fam,1Story,6,5,1967,1967,507,Y,1691,0,1691,2,TA,5,Attchd,2,550,0,67,260,0,2009,175000,2,N,1173,2864
9600,NAmes,1Fam,1Story,6,5,1953,1953,131,Y,1644,0,1644,3,TA,7,Attchd,2,418,110,0,0,0,2009,167000,2,N,1285,2929
9600,NAmes,1Fam,1Story,5,6,1956,1956,546,Y,1050,0,1050,2,TA,5,Attchd,1,338,0,0,0,0,2009,128900,1,N,504,1554
6120,BrkSide,1Fam,1.5Fin,4,7,1935,1995,884,Y,989,584,1573,3,Gd,6,Detchd,1,240,0,0,54,120,2009,133000,1,Y,0,1573
6120,BrkSide,1Fam,1Story,5,7,1931,1993,506,Y,875,0,875,2,TA,5,Detchd,1,180,48,0,0,0,2009,105000,2,Y,209,1084
8944,NAmes,Duplex,1Story,5,5,1967,1967,1584,Y,1584,0,1584,4,TA,8,Detchd,3,792,0,152,0,0,2009,124000,2,N,0,1584
10573,NAmes,1Fam,1Story,6,6,1961,1961,141,Y,1453,0,1453,3,TA,6,Attchd,2,530,0,49,0,288,2009,187500,3,N,1312,2765
9500,NAmes,1Fam,1Story,6,5,1963,1963,785,Y,1394,0,1394,3,TA,6,Attchd,2,514,0,76,0,185,2009,159000,3,N,609,2003
5775,OldTown,1Fam,2Story,6,7,1915,2002,483,Y,741,686,1427,3,Gd,7,Attchd,1,379,0,24,112,0,2009,123000,1,Y,0,1427
13600,NAmes,1Fam,2Story,7,6,1965,1990,314,Y,1186,800,1986,3,TA,7,Attchd,2,486,0,42,0,189,2009,205000,3,Y,454,2440
13000,NAmes,1Fam,2Story,6,6,1968,1968,448,Y,1182,960,2142,4,Gd,8,Attchd,1,509,0,72,0,252,2009,193500,3,N,448,2590
13560,NAmes,1Fam,1Story,6,3,1968,1968,1392,Y,1392,0,1392,2,TA,5,Attchd,2,576,0,0,240,0,2009,110000,2,N,0,1392
12513,NAmes,1Fam,1.5Fin,4,4,1920,2007,715,Y,1281,457,1738,4,TA,7,Attchd,1,368,55,0,0,0,2009,104900,2,Y,0,1738
